name_eng,name_ukr,code,value
category,Категорія об’єкту,1110,Будинки одноквартирні
category,Категорія об’єкту,1121,Будинки з двома квартирами
category,Категорія об’єкту,1122,Будинки з трьома та більше квартирами
category,Категорія об’єкту,1130,Гуртожитки
category,Категорія об’єкту,1211,Будівлі готельні
category,Категорія об’єкту,1212,Інші будівлі для тимчасового проживання
category,Категорія об’єкту,1220,Будівлі офісні
category,Категорія об’єкту,1230,Будівлі торговельні
category,Категорія об’єкту,1241,"Вокзали, аеровокзали, будівлі засобів зв’язку та пов’язані з ними будівлі"
category,Категорія об’єкту,1242,Гаражі
category,Категорія об’єкту,1251,Будівлі промислові
category,Категорія об’єкту,1252,"Резервуари, силоси та склади"
category,Категорія об’єкту,1261,Будівлі для публічних виступів
category,Категорія об’єкту,1263,Будівлі навчальних та дослідних закладів
category,Категорія об’єкту,1264,Будівлі лікарень та оздоровчих закладів
category,Категорія об’єкту,1265,Зали спортивні
category,Категорія об’єкту,1271,"Будівлі сільськогосподарського призначення, лісівництва та рибного господарства"
category,Категорія об’єкту,1272,Будівлі для культової та релігійної діяльності
category,Категорія об’єкту,1273,"Пам'ятки історичні та такі, що охороняються державою"
category,Категорія об’єкту,1274,"Будівлі інші, не класифіковані раніше"
obj_type,Тип об'єкта,1,будівля
obj_type,Тип об'єкта,2,земельна ділянка
obj_type,Тип об'єкта,3,садиба
obj_type,Тип об'єкта,4,комплекс споруд
sub_type,Підтип,1,жилий
sub_type,Підтип,2,не жилий
condition,Стан,1,не зруйновано
condition,Стан,2,напівзруйновано
condition,Стан,3,зруйновано
str_type,Тип дорожньо-вуличної мережі,1,Вулиця
str_type,Тип дорожньо-вуличної мережі,2,Площа
str_type,Тип дорожньо-вуличної мережі,3,Майдан
str_type,Тип дорожньо-вуличної мережі,4,Шосе
str_type,Тип дорожньо-вуличної мережі,5,Проспект
str_type,Тип дорожньо-вуличної мережі,6,Бульвар
str_type,Тип дорожньо-вуличної мережі,7,Алея
str_type,Тип дорожньо-вуличної мережі,8,Провулок
str_type,Тип дорожньо-вуличної мережі,9,Проїзд
str_type,Тип дорожньо-вуличної мережі,10,Узвіз
str_type,Тип дорожньо-вуличної мережі,11,Тупик
str_type,Тип дорожньо-вуличної мережі,12,Набережна
str_type,Тип дорожньо-вуличної мережі,14,Шлях
str_type,Тип дорожньо-вуличної мережі,15,Дорога
str_type,Тип дорожньо-вуличної мережі,16,Заїзд
str_type,Тип дорожньо-вуличної мережі,17,В'їзд
str_type,Тип дорожньо-вуличної мережі,18,Завулок
str_type,Тип дорожньо-вуличної мережі,19,Лінія
str_type,Тип дорожньо-вуличної мережі,101,Квартал
str_type,Тип дорожньо-вуличної мережі,102,Мікрорайон
str_type,Тип дорожньо-вуличної мережі,103,Жилий масив
str_type,Тип дорожньо-вуличної мережі,104,Містечко
str_type,Тип дорожньо-вуличної мережі,105,Урочище
str_type,Тип дорожньо-вуличної мережі,106,Хутір
str_type,Тип дорожньо-вуличної мережі,107,Садове товариство
str_type,Тип дорожньо-вуличної мережі,108,Гаражний кооператив
