"crs","alias"
EPSG:9832,"МСК-05 (Вінницька область)"
EPSG:9833,"МСК-07 (Волинська область)"
EPSG:9834,"МСК-12 (Дніпропетровська область)"
EPSG:9835,"МСК-14 (Донецька область)"
EPSG:9836,"МСК-18 (Житомирська область)"
EPSG:9837,"МСК-21 (Закарпатська область)"
EPSG:9838,"МСК-23 (Запорізька область)"
EPSG:9839,"МСК-26 (Івано-Франківська область)"
EPSG:9840,"МСК-35 (Кіровоградська область)"
EPSG:9841,"МСК-44 (Луганська область)"
EPSG:9851,"МСК-46 (Львівська область)"
EPSG:9852,"МСК-48 (Миколаївська область)"
EPSG:9853,"МСК-51 (Одеська область)"
EPSG:9854,"МСК-53 (Полтавська область)"
EPSG:9855,"МСК-56 (Рівненська область)"
EPSG:9856,"МСК-59 (Сумська область)"
EPSG:9857,"МСК-61 (Тернопільська область)"
EPSG:9858,"МСК-63 (Харківська область)"
EPSG:9859,"МСК-65 (Херсонська область)"
EPSG:9860,"МСК-68 (Хмельницька область)"
EPSG:9861,"МСК-71 (Черкаська область)"
EPSG:9862,"МСК-73 (Чернівецька область)"
EPSG:9863,"МСК-74 (Чернігівська область)"
EPSG:9864,"МСК-80 (м. Київ)"
EPSG:5562,"УСК-2000 GK6 зона 4 осьовий меридіан 21°"
EPSG:5563,"УСК-2000 GK6 зона 5 осьовий меридіан 27°"
EPSG:5564,"УСК-2000 GK6 зона 6 осьовий меридіан 33°"
EPSG:5565,"УСК-2000 GK6 зона 7 осьовий меридіан 39°"
EPSG:5561,"УСК-2000 BL"
