"name_eng","name_ukr","code","value"
"heritage_monum_type","Вид об'єкта культурної спадщини",1,"археології"
"heritage_monum_type","Вид об'єкта культурної спадщини",2,"архітектури"
"heritage_monum_type","Вид об'єкта культурної спадщини",3,"містобудування"
"heritage_monum_type","Вид об'єкта культурної спадщини",4,"історії"
"heritage_monum_type","Вид об'єкта культурної спадщини",5,"монументального мистецтва"
"heritage_monum_type","Вид об'єкта культурної спадщини",6,"садово-паркового мистецтва"
"heritage_monum_type","Вид об'єкта культурної спадщини",7,"ландшафтні"
"heritage_monum_type","Вид об'єкта культурної спадщини",8,"науки і техніки"
"heritage_monum_significance","Категорія пам'ятки культурної спадщини/зони охорони пам'ятки",1,"пам'ятка національного значення"
"heritage_monum_significance","Категорія пам'ятки культурної спадщини/зони охорони пам'ятки",2,"пам'ятка місцевого значення"
"heritage_monum_significance","Категорія пам'ятки культурної спадщини/зони охорони пам'ятки",3,"відсутня категорія"
"ownership","Форма власності",0,"не визначено"
"ownership","Форма власності",1,"державна власність"
"ownership","Форма власності",2,"комунальна власність"
"ownership","Форма власності",3,"приватна власність"
"ownership","Форма власності",4,"інше право власності"
"heritage_monum_status","Статус об'єкта культурної спадщини",1,"щойно виявлений об’єкт культурної спадщини"
"heritage_monum_status","Статус об'єкта культурної спадщини",2,"взято на державний облік відповідно до законодавства, що діяло до набрання чинності Законом України „Про охорону культурної спадщини” (має статус пам'ятки культурної спадщини)"
"heritage_monum_status","Статус об'єкта культурної спадщини",3,"занесено до Державного реєстру нерухомих пам’яток України"
"heritage_monum_status","Статус об'єкта культурної спадщини",4,"пропоновано до вилучення з Державного реєстру нерухомих пам’яток України"
"conserv_type","Вид історико-культурного заповідника/історико-культурної заповідної території за домінуючим видом об'єктів культурної спадщини",1,"історико-архітектурний"
"conserv_type","Вид історико-культурного заповідника/історико-культурної заповідної території за домінуючим видом об'єктів культурної спадщини",2,"архітектурно-історичний"
"conserv_type","Вид історико-культурного заповідника/історико-культурної заповідної території за домінуючим видом об'єктів культурної спадщини",3,"історико-меморіальний"
"conserv_type","Вид історико-культурного заповідника/історико-культурної заповідної території за домінуючим видом об'єктів культурної спадщини",4,"історико-археологічний"
"conserv_type","Вид історико-культурного заповідника/історико-культурної заповідної території за домінуючим видом об'єктів культурної спадщини",5,"історико-етнографічний"
"conserv_signific","Категорія історико-культурного заповідника",1,"державного значення"
"conserv_signific","Категорія історико-культурного заповідника",2,"місцевого значення"
